귀여운 내친구 뽀로로 블루베리맛,팔도,235,1병,FALSE,80,45,19,12,0,0
귀여운 내친구 뽀로로 딸기맛,팔도,235,1병,FALSE,80,45,19,12,0,0
귀여운 내친구 뽀로로 밀크맛,팔도,235,1병,FALSE,80,45,19,12,0,0
귀여운 내친구 뽀로로 사과맛,팔도,235,1병,FALSE,80,45,19,12,0,0
뽀로로 보리차,팔도,220,1병,FALSE,0,10,0,0,0,0
뽀로로 워터젤리 포도,팔도,120,1팩,FALSE,65,85,16,11,0,0
뽀로로 워터젤리 복숭아,팔도,120,1팩,FALSE,65,85,16,11,0,0
뽀로로 워터젤리 오렌지,팔도,120,1팩,FALSE,65,85,16,11,0,0
뽀로로 홍삼 쏙쏙 오렌지,팔도,100,1팩,FALSE,45,10,11,9,0,0
뽀로로 홍삼 쏙쏙 사과 매실,팔도,100,1팩,FALSE,45,10,11,9,0,0
뽀로로 홍삼 쏙쏙 포도 블루베리,팔도,100,1팩,FALSE,45,10,11,9,0,0
뽀로로 비타 플러스 딸기,팔도,100,1팩,FALSE,35,10,9,8,0,0
뽀로로 비타 플러스 오렌지,팔도,100,1팩,FALSE,35,15,9,8,0,0
뽀로로 비타 플러스 포도,팔도,100,1팩,FALSE,35,10,9,8,0,0
뿌요소다 오렌지,팔도,245,1병,FALSE,105,5,26,16,0,0
뿌요소다 파인애플,팔도,245,1병,FALSE,105,5,26,16,0,0
뿌요소다 소다향,팔도,245,1병,FALSE,105,5,26,16,0,0
유산균 뽀로로 망고,팔도,120,1팩,FALSE,130,15,33,15,0,0
유산균 뽀로로 멜론,팔도,120,1팩,FALSE,130,15,33,15,0,0
스윗허그 사과 착즙 주스,롯데쇼핑,100,1팩,FALSE,44,0,11,10,0,0
스윗허그 배도라지 착즙 주스,롯데쇼핑,100,1팩,FALSE,40,0,10,8,0,0
스윗허그 포도 도라지 착즙 주스,롯데쇼핑,100,1팩,FALSE,52,0,13,12,0,0
핑크퐁 루이보스 보리차,롯데칠성,230,1병,FALSE,0,0,0,0,0,0
핑크퐁 키즈 홍삼 사과 당근,롯데칠성,100,1팩,FALSE,40,5,10,10,0,0
핑크퐁 키즈 홍삼 배 도라지,롯데칠성,100,1팩,FALSE,50,10,13,13,0,0
핑크퐁 키즈 홍삼 포도 야채,롯데칠성,100,1팩,FALSE,50,10,13,13,0,0
핑크퐁 키즈 홍삼 파인애플 케일,롯데칠성,100,1팩,FALSE,45,10,11,11,0,0
핑크퐁 상어가족 오렌지 망고,롯데칠성,235,1병,FALSE,75,20,20,16,0,0
핑크퐁 상어가족 포도 사과,롯데칠성,235,1병,FALSE,75,25,20,16,0,0
크니쁘니 유기농 사과 당근 주스,롯데칠성,125,1팩,FALSE,50,15,12,12,0,0
크니쁘니 유기농 레드비트 배 토마토 주스,롯데칠성,125,1팩,FALSE,50,15,12,12,0,0
크니쁘니 유기농 적포도 보라당근 주스,롯데칠성,125,1팩,FALSE,52,10,13,13,0,0
크니쁘니 유기농 오렌지 망고 호박 주스,롯데칠성,125,1팩,FALSE,56,5,14,14,0,0
파스퇴르 킨더밀쉬 1단계,롯데푸드,200,1팩,FALSE,145,60,17.6,12,3.5,3
파스퇴르 킨더밀쉬 2단계,롯데푸드,200,1팩,FALSE,145,60,17.6,12,3.5,3
파스퇴르 아이생각 순한 유기농 보리차,롯데푸드,125,1팩,FALSE,0,0,0,0,0,0
파스퇴르 아이생각 100% 유기농 주스 사과 당근,롯데푸드,125,1팩,FALSE,55,10,13,13,0,0
파스퇴르 아이생각 100% 유기농 주스 사과 배,롯데푸드,125,1팩,FALSE,65,5,16,16,0,0
파스퇴르 아이생각 100% 유기농 주스 백포도,롯데푸드,125,1팩,FALSE,50,5,13,12,0,0
파스퇴르 아이생각 100% 유기농 주스 배 도라지,롯데푸드,125,1팩,FALSE,80,10,20,15,0,0
코코몽 사과,웅진식품,200,1병,FALSE,75,0,19,14,0,0
코코몽 딸기,웅진식품,200,1병,FALSE,65,20,16,14,0,0
코코몽 포도,웅진식품,200,1병,FALSE,70,0,17,14,0,0
자연은 잘자란 유기농 오렌지,웅진식품,100,1팩,FALSE,40,15,9,8,0,0
자연은 잘자란 유기농 포도,웅진식품,100,1팩,FALSE,40,15,9,9,0,0
자연은 잘자란 배도라지,웅진식품,100,1팩,FALSE,50,0,13,9,0,0
정관장 아이 키커 사과,한국인삼공사,100,1팩,FALSE,40,0,10,8,0,0
정관장 아이 키커 플러스 포도,한국인삼공사,100,1팩,FALSE,55,5,14,10,0,0
정관장 아이 키커 오렌지,한국인삼공사,100,1팩,FALSE,50,0,12,11,0,0
하루야채 타요,에이치와이,100,1팩,FALSE,45,20,11,11,0,0
하루야채 뽀로로,에이치와이,100,1팩,FALSE,50,15,12,11,0,0
오늘의 야채 100% 유기농 사과 당근,에이치와이,200,1병,FALSE,130,60,32,32,0,0
오늘의 야채 100% 유기농 포도 비트,에이치와이,200,1병,FALSE,160,60,40,40,0,0
뽀짝뽀짝 유기농 사과 오렌지,에이치와이,100,1팩,FALSE,50,50,12,12,0,0
뽀짝뽀짝 유기농 포도 사과,에이치와이,100,1팩,FALSE,50,25,13,13,0,0
미닛메이드 쿠우 젤리 복숭아 ,코카콜라음료,130,1팩,FALSE,72,14,18,16,0,0
미닛메이드 쿠우 오렌지,코카콜라음료,300,1병,FALSE,72,46,18,17,0,0
미닛메이드 쿠우 포도,코카콜라음료,300,1병,FALSE,72,15,18,16,0,0
자연원 5무 주스 키즈 100% 유기농 과일 야채,웰팜,100,1팩,FALSE,50,20,11,7,0,0
자연원 5무 주스 키즈 100% 유기농 포도,웰팜,100,1팩,FALSE,70,5,17,14,0,0
자연원 5무 과일 100% 유기농 스퀴즈 오렌지,웰팜,100,1팩,FALSE,45,5,11,10,0,1
자연원 5무 과일 100% 유기농 딸기 그레이프,웰팜,100,1팩,FALSE,60,0,14,13,0,0
청정원 홍초먹은 기린 딸기,대상,100,1팩,FALSE,60,15,15,4,0,0
청정원 홍초먹은 기린 애플소다,대상,100,1팩,FALSE,65,5,16,5,0,0
청정원 홍초먹은 기린 청포도,대상,100,1팩,FALSE,60,0,15,5,0,0
청정원 상큼하고 달콤한 청포도 에이드,대상,80,1팩,FALSE,50,0,12,9,0,0
청정원 오렌지를 사랑한 망고,대상,80,1팩,FALSE,50,0,12,9,0,0
청정원 엄마가 선택한 클로렐라 오렌지맛,대상,100,1팩,FALSE,35,0,9,8,0,0
뉴케어 마이키즈 초코맛,대상,150,1팩,FALSE,150,85,21.5,8,1.2,5
뉴케어 마이키즈 딸기맛,대상,150,1팩,FALSE,150,65,21.5,8,0.6,5
홍삼을 넣은 안녕 자두야 NFC 사과 주스,자임에프앤비,100,1팩,FALSE,53,0,13,13,0,0
홍삼을 넣은 안녕 자두야 NFC 포도 주스,자임에프앤비,100,1팩,FALSE,55,0,13,13,0,0.5
홍삼을 넣은 안녕 자두야 NFC 배도라지 주스,자임에프앤비,100,1팩,FALSE,45,0,11,8,0,0
요미요미 안심 아이차 현미,매일유업,125,1팩,FALSE,0,0,0,0,0,0
요미요미 야채와 과일 보라,매일유업,100,1팩,FALSE,55,50,15,10,0,0
요미요미 야채와 과일 빨강,매일유업,100,1팩,FALSE,55,50,15,10,0,0
요미요미 야채와 과일 초록,매일유업,100,1팩,FALSE,55,50,15,10,0,0
요미요미 야채와 과일 노랑,매일유업,100,1팩,FALSE,50,50,14,9,0,0
요미요미 유기농 주스 사과 배,매일유업,125,1팩,FALSE,60,45,15,14,0,0
요미요미 유기농 주스 사과 배 포도,매일유업,125,1팩,FALSE,60,40,15,14,0,0
요미요미 유기농 주스 과일 믹스,매일유업,125,1팩,FALSE,60,35,15,14,0,0
요미요미 유기농 주스 야채 믹스,매일유업,125,1팩,FALSE,50,35,13,13,0,0
요미요미 튼튼 프룬 사과,매일유업,100,1팩,FALSE,50,5,15,9,0,0
요미요미 튼튼 배 도라지,매일유업,100,1팩,FALSE,50,5,12,11,0,0
마이리틀 딸기블루베리,매일유업,85,1팩,FALSE,65,40,10,8,0.9,3
마이리틀 사과바나나,매일유업,85,1팩,FALSE,65,0,10,8,0.9,3
헬로 엔요 플레인,매일유업,200,1팩,FALSE,70,40,17,16,0,0
루솔이 만든 진한 배도라지즙,에르코스,100,1팩,FALSE,27,0,7,4,0,0
루솔이 맷돌방식으로 만든 고칼슘 유기농 두유,에르코스,100,1팩,FALSE,53,82,9,3,0,3
베비언스 킨더 이온 사과,엘지생활건강,200,1병,FALSE,25,100,6,5.5,0,0
베비언스 우리 아이 워터 유산균,엘지생활건강,240,1병,FALSE,10,5,3,0.5,0,0
유기농 진한 배도라지액,프로엠트레이딩,100,1포,FALSE,130,40,29,18,0,1.3
착즙 목소리도 맑음,로지오가닉,80,1팩,FALSE,40,5,10,10,0,0
방구소리 방긋 10억 유산균,로지오가닉,80,1팩,FALSE,49,5,11,9,0,0
안경 도둑 똘망 ,로지오가닉,80,1팩,FALSE,46,11,11,10,0,0
홍삼 츄츄 사과 & 배,서울우유,100,1팩,FALSE,55,8,13.5,11,0,0
홍삼 츄츄 블루베리 & 포도,서울우유,100,1팩,FALSE,50,7,12,10,0,0
야채채움 키즈 보라,남양유업,115,1팩,FALSE,55,17,14,13,0,0
야채채움 키즈 초록,남양유업,115,1팩,FALSE,55,23,14,12.6,0,0
아인슈타인 베이비,남양유업,100,100ml,FALSE,60,50,4.5,4.5,2.4,3
아인슈타인 천연 DHA 우유 플러스,남양유업,120,1팩,FALSE,85,65,6,6,3.4,3.8
아인슈타인 천연 DHA 초코 우유,남양유업,120,1팩,FALSE,115,60,15,13.5,2.9,4
아인슈타인 천연 DHA 딸기 우유,남양유업,120,1팩,FALSE,105,55,13,12.5,2.8,3.6
머리가 마시는 아인슈타인 킨더밀쉬,남양유업,200,1병,FALSE,130,60,16,13,3,3
아이꼬야 유기농 베이비주스 프룬,남양유업,120,1팩,FALSE,48,15,12,11.5,0,0
아이꼬야 유기농 베이비 주스 사과 포도,남양유업,120,1팩,FALSE,48,10,12,11.5,0,0
아이꼬야 유기농 베이비 주스 사과 배,남양유업,120,1팩,FALSE,48,10,12,11.5,0,0
아이꼬야 유기농 베이비 음료 이온 케어,남양유업,120,1팩,FALSE,52,50,13,7,0,0
아이꼬야 아기랑 쌀이랑 퀴노아 & 오트,남양유업,180,1팩,FALSE,120,80,19,10,1,1.3
아이꼬야 아기랑 쌀이랑 오곡,남양유업,180,1팩,FALSE,120,80,19,10,1,1.3
아이꼬야 아기랑 쌀이랑 흑미,남양유업,180,1팩,FALSE,120,80,19,10,1,1.3
아이꼬야 아기랑 콩이랑 1단계,남양유업,120,1팩,FALSE,80,47,9,5.3,1.7,3.3
아이꼬야 아기랑 콩이랑 2단계,남양유업,120,1팩,FALSE,80,53,9,5.3,1.5,3.7
맛있는 두유 GT 키즈,남양유업,180,1팩,FALSE,105,110,15,8,1,4.5
웰치 오렌지망고 드링크,농심,190,1팩,FALSE,64,0,16,16,0,0
웰치 포도 드링크,농심,190,1팩,FALSE,60,0,17,15,0,0
자연마을 배주스,자연마을,100,1팩,FALSE,46.5,2.2,11.2,9.4,0,0.2
자연마을 사과주스,자연마을,100,1팩,FALSE,59.15,1.92,14.45,12.91,0.06,0.18
자연마을 포도주스,자연마을,100,1팩,FALSE,51.81,3.32,12.41,12.38,0.04,0.43
자연마을 감귤주스,자연마을,100,1팩,FALSE,40.4,40.5,9.3,9.2,0.1,0.6
자연마을 딸기주스,자연마을,100,1팩,FALSE,50,0,13,12,0,0
자연마을 사과당근주스,자연마을,100,1팩,FALSE,55,0,13,12,0,0
자연마을 사과아로니아주스,자연마을,100,1팩,FALSE,49.42,7.08,12.08,11.28,0.06,0.14
자연마을 배도라지,자연마을,100,1팩,FALSE,65,0,15,9,0,1
자연마을 사과비트주스,자연마을,100,1팩,FALSE,56,14,13,11,0,0
아람드리 딸기,아람농장,138,1팩,FALSE,60,0,16,11,0,0
아람드리 포도,아람농장,138,1팩,FALSE,55,40,14,12,0,0
아람드리 사과,아람농장,138,1팩,FALSE,55,50,14,12,0,0
아람드리 감귤,아람농장,138,1팩,FALSE,55,40,14,14,0,0
아람드리 천도 복숭아,아람농장,138,1팩,FALSE,55,40,14,11,0,0
아람드리 유자,아람농장,138,1팩,FALSE,75,5,19,19,0,0
공룡 메카드 사과,에이플러스,220,1병,FALSE,70,16,17,17,0,0
시크릿 쥬쥬 청포도,에이플러스,220,1병,FALSE,78,5,20,17,0,0.2
시크릿 쥬쥬 사과,에이플러스,220,1병,FALSE,70,16,17,17,0,0
시크릿 쥬쥬 딸기,에이플러스,100,1팩,FALSE,40,10,10,10,0,0
브레드 이발소 오렌지맛,에이플러스,220,1병,FALSE,75,1.74,18.5,13,0,0
엑스링 다이노 사과,에이플러스,220,1병,FALSE,76,13.7,19,15,0,0
소피루비 포도,에이플러스,220,1병,FALSE,85,14,21,21,0,0
라즈베리 트위스트 앤 드링크,태원통상,200,1병,FALSE,80,2,20,20,0,0
사과 트위스트 앤 드링크,태원통상,200,1병,FALSE,74,2,18.4,18,0,0
오렌지 트위스트 앤 드링크,태원통상,200,1병,FALSE,75,2,18.6,18.4,0,0
와일드베리 트위스트 앤 드링크,태원통상,200,1병,FALSE,80,2,20,20,0,0
체리 트위스트 앤 드링크,태원통상,200,1병,FALSE,88,2,22,22,0,0
맑은 농장 어린이주스,청호네추럴,100,1팩,FALSE,50,5,12,9,0,0
이츠웰 플리또 청포도,씨제이프레시웨이,130,1팩,FALSE,60,0,15,11,0,0
이츠웰 플리또 망고 파인애플,씨제이프레시웨이,130,1팩,FALSE,65,0,16,12,0,0
이츠웰 플리또 석류 사과,씨제이프레시웨이,130,1팩,FALSE,60,5,15,13,0,0
이츠웰 플리또 자몽 블루베리,씨제이프레시웨이,130,1팩,FALSE,60,0,15,11,0,0
이츠웰 플리또 골드키위 배,씨제이프레시웨이,130,1팩,FALSE,60,15,14,14,0,0
이츠웰 플리또 당근 사과,씨제이프레시웨이,130,1팩,FALSE,60,35,15,14,0,0
이츠웰 마시는 사과야 망고해,씨제이프레시웨이,50,1팩,FALSE,12,5,10,1,0,0
이츠웰 튼튼 플러스 요거얌얌 플레인,씨제이프레시웨이,125,1팩,FALSE,45,20,11,10,0,0
이츠웰 튼튼 플러스 요거얌얌 오렌지맛,씨제이프레시웨이,125,1팩,FALSE,40,25,10,10,0,0
이츠웰 마시는 상큼한 하루,씨제이프레시웨이,100,1팩,FALSE,48,0,12,9,0,0
이츠웰 마시는 레드 핑크 블라썸,씨제이프레시웨이,100,1팩,FALSE,52,0,13,12,0,0
이츠웰 마시는 골든 블라썸,씨제이프레시웨이,100,1팩,FALSE,55,15,13,11,0,1
이츠웰 마시는 달콤한 하루,씨제이프레시웨이,100,1팩,FALSE,50,0,12,10,0,1
키크몬 홍삼 사과,씨제이제일제당,100,1팩,FALSE,13,5,10,4,0,0
키크몬 홍삼 배,씨제이제일제당,100,1팩,FALSE,20,0,11,4,0,0
키크몬 홍삼 포도,씨제이제일제당,100,1팩,FALSE,24,0,12,5,0,0
웰키즈 사과,에이치케이이노엔,100,1팩,FALSE,25,0,6.4,6,0,0
웰키즈 포도,에이치케이이노엔,100,1팩,FALSE,30,5,7,6,0,0
유기농 키즈프리 톡톡로니,풀무원,100,1팩,FALSE,50,25,13,12,0,0
유기농 키즈프리 튼튼드니,풀무원,100,1팩,FALSE,50,30,13,13,0,0
유기농 키즈프리 반짝프니,풀무원,100,1팩,FALSE,50,30,13,12,0,0
우리 아이 튼튼 보감,풀무원,80,1포,FALSE,50,5,13,12,0,0
슈퍼키즈하이,풀무원,130,1병,FALSE,60,30,16,10,0,1
팁코 키즈 애플 그레이프 주스,광동,110,1팩,FALSE,46.8,10.5,11.7,10.3,0,0
팁코 키즈 믹스 베지 후르츠 주스,광동,110,1팩,FALSE,44.8,24,11.2,10.6,0,0
팁코 키즈 쇼군 오렌지 주스,광동,110,1팩,FALSE,44.8,10.5,11.2,10.2,0,0
폴짝폴짝 콩콩콩 청포도,해태,210,1병,FALSE,60,13,15,14,0,0
폴짝폴짝 콩콩콩 복숭아,해태,210,1병,FALSE,60,13,15,14,0,0
썬키스트 키즈 포도 ,해태,210,1병,FALSE,15,20,7,2,0,0
썬키스트 키즈 딸기,해태,210,1병,FALSE,7,20,2,0,0,0
잘크톤 홍삼 튼트니 포도 블루베리맛,파머스팩토리,100,1팩,FALSE,56,2,14,14,0,0
잘크톤 홍삼 튼트니 오렌지맛,파머스팩토리,100,1팩,FALSE,58,2,14.4,14,0,0
햇살바람 사과 생즙,부림농원,110,1팩,FALSE,64,5,16,13,0,0
연세 바나나 우유,연세대학교연세우유,200,1팩,FALSE,160,120,22,22,4,6
키득키득 오비타,함소아제약,100,1팩,FALSE,76,10,19,16,0,0
키득키득 배도라지,함소아제약,100,1팩,FALSE,82,10,20,17,0,0
삐뽀삐뽀 도라지 담은 배,함소아제약,100,1팩,FALSE,54,0,13,10,0,0
테일러 키즈푸룬 ,테일러팜스,80,1팩,FALSE,62,0,14,10,0,0
엄마 사랑 홍삼,한국인삼유통공사,20,1포,FALSE,20,0,5,2,0,0
요거 조아,아이배냇,100,1팩,FALSE,40,15,12,6,0,0
배도라지 조아,아이배냇,100,1팩,FALSE,25,0,6,5,0,0
엘더베리 조아,아이배냇,100,1팩,FALSE,40,0,10,10,0,0
끙야 에이,아이배냇,80,1팩,FALSE,45,15,14,7,0.1,5
끙야 비,아이배냇,80,1팩,FALSE,45,5,14,8,0,0
끙야 씨,아이배냇,80,1팩,FALSE,45,15,14,7,0,0
우리아이입안애 사과당근음료,초록마을,100,1팩,FALSE,49,5,12,11,0,0
우리아이입안애 배도라지음료,초록마을,100,1팩,FALSE,53.5,5,13,13,0,0
우리아이입안애 딸기음료,초록마을,100,1팩,FALSE,57.5,5,13,13,0,0
마시는 텐텐 홍삼 튼튼 사과,한미헬스케어,100,1팩,FALSE,50,25,13,10,0,0
마시는 텐텐 홍삼 튼튼 포도,한미헬스케어,100,1팩,FALSE,50,10,13,12,0,0
마시는 텐텐 홍삼 튼튼 오렌지,한미헬스케어,100,1팩,FALSE,50,10,12,11,0,0
한미 마시는 비타민 텐텐 딸기맛,고구려통상,140,1캔,FALSE,45,18,11,9,0,0
한미 마시는 비타민 텐텐 청포도맛,고구려통상,140,1캔,FALSE,49,17,12,10,0,0
하이 피치,돌코리아,120,1팩,FALSE,75,5,19,12,0,0
하이 머스캣,돌코리아,120,1팩,FALSE,75,5,19,14,0,0
하이 애플,돌코리아,120,1팩,FALSE,80,5,20,11,0,0
하이 파인애플,돌코리아,120,1팩,FALSE,65,5,15,12,0.4,0
하이 망고,돌코리아,120,1팩,FALSE,65,5,15,11,0.2,0
노브랜드 딸기 어린이 음료,이마트,200,1병,FALSE,65,20,16,14,0,0
어린이 도라지 배즙,순수식품,80,1팩,FALSE,32,0,8,6,0,0
어린이 홍삼 키즈,동보내츄럴,20,1팩,FALSE,20,0,5,5,0,0
6년근 홍삼 무럭무럭 자라라 어린이 홍삼,피쉬데이,50,1팩,FALSE,15,0,3,3,0,0
어린이 유기농 튼튼 홍삼,장수이야기,60,1팩,FALSE,17,0,4,4,0,0
튼튼 쑥쑥 어린이 녹용 홍삼,천호엔케어,40,1팩,FALSE,25,5,6,3,0,0.5
처음 먹는 배도라지,참든건강과학,100,1팩,FALSE,32,0,8,5,0,0
처음 먹는 배도라지 홍삼,참든건강과학,80,1팩,FALSE,28,0,7,4,0,0
엘빈즈 유기농 바나나 파인애플,헬스밸런스,80,1팩,FALSE,25,5,5,5,0,0
엘빈즈 유기농 바나나 오렌지 망고,헬스밸런스,80,1팩,FALSE,30,5,7,6,0,0
엘빈즈 과즙팡팡 어린이 워터젤리 청포도 골드키위,헬스밸런스,100,1팩,FALSE,69,18,17,8,0,0
엘빈즈 과즙팡팡 어린이 워터젤리 복숭아 자두,헬스밸런스,100,1팩,FALSE,75,17,18,8,0,0
엘빈즈 작두콩 현미차,헬스밸런스,100,1팩,FALSE,0,0,0,0,0,0
바나나맛 우유 키즈,빙그레,120,1팩,FALSE,109,56,13,12,3.3,3.5
아이 쭉쭉 워터젤리 제주 감귤,베베쿡,100,1팩,FALSE,60,25,15,15,0,0
아이 쭉쭉 워터젤리 체리 베리,베베쿡,100,1팩,FALSE,52,20,13,13,0,0